ID_CLIENTE,GENERO_Male,ADULTO_MAYOR_1,CASADO_Yes,PERSONAS_A_CARGO_Yes,TIENE_TELEFONIA_Yes,VARIAS_LINEAS_No phone service,VARIAS_LINEAS_Yes,TIPO_INTERNET_Fiber optic,TIPO_INTERNET_No,SEGURIDAD_EN_LINEA_No internet service,SEGURIDAD_EN_LINEA_Yes,COPIA_DE_SEGURIDAD_No internet service,COPIA_DE_SEGURIDAD_Yes,PROTECCION_DISPOSITIVO_No internet service,PROTECCION_DISPOSITIVO_Yes,SOPORTE_TECNICO_No internet service,SOPORTE_TECNICO_Yes,SERVICIO_TV_No internet service,SERVICIO_TV_Yes,SERVICIOS_STREAMING_No internet service,SERVICIOS_STREAMING_Yes,PERIODO_CONTRATO_One year,PERIODO_CONTRATO_Two year,FACTURACION_ELECTRONICA_Yes,METODO_PAGO_Credit card (automatic),METODO_PAGO_Electronic check,METODO_PAGO_Mailed check,ABANDONO_Yes,MESES_COMO_CLIENTE,COBRO_MENSUAL
6865-JZNKO,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.021739130434782608,-0.27690892364305425
6467-CHFZW,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0.391304347826087,0.5335786568537259
8665-UTDHZ,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.6086956521739131,-0.7387304507819686
5248-YGIJN,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0.9347826086956522,0.3661453541858327
8773-HHUOZ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,-0.2608695652173913,-0.1039558417663292
3841-NFECX,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.9130434782608695,0.4783808647654094
4929-XIHVW,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,-0.5869565217391305,0.46274149034038653
6827-IEAUQ,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-0.043478260869565216,-0.07727690892364285
7310-EGVHZ,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,-0.6086956521739131,-0.9227230910763569
3413-BMNZE,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6086956521739131,-0.4618215271389144
6234-RAAPL,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.9347826086956522,0.5436982520699175
6047-YHPVI,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.5217391304347826,-0.011959521619135079
6572-ADKRS,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.3695652173913043,0.08187672493100281
5380-WJKOV,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0.10869565217391304,0.6623735050597976
8168-UQWWF,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.391304347826087,0.5059797608095676
8865-TNMNX,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.41304347826086957,-0.38270469181232747
9489-DEDVP,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.8913043478260869,-0.02115915363385449
9867-JCZSP,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,-0.2608695652173913,-0.9126034958601655
4671-VJLCL,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0.7391304347826086,0.17479300827966884
4080-IIARD,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,-0.34782608695652173,0.10763569457221728
3714-NTNFO,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.43478260869565216,0.26034958601655944
5948-UJZLF,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5869565217391305,-0.3882244710211591
7760-OYPDY,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,-0.5869565217391305,0.1895124195032201
7639-LIAYI,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0.5,0.17295308187672506
2954-PIBKO,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.8695652173913043,-0.1140754369825205
8012-SOUDQ,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.30434782608695654,0.3661453541858327
9420-LOJKX,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,-0.30434782608695654,0.5289788408463661
6575-SUVOI,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,-0.08695652173913043,-0.015639374425022896
7495-OOKFY,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-0.45652173913043476,0.1895124195032201
4667-QONEA,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0.6739130434782609,0.0827966881324747
1658-BYGOY,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,-0.2391304347826087,0.46182152713891467
8769-KKTPH,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0.7391304347826086,0.5390984360625578
5067-XJQFU,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.8043478260869565,0.7010119595216193
3957-SQXML,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.10869565217391304,-0.8353265869365225
5954-BDFSG,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0.9347826086956522,0.6835326586936524
0434-CSFON,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0.391304347826087,0.5547378104875806
1215-FIGMP,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.6739130434782609,0.35970561177552923
0526-SXDJP,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9347826086956522,-0.5197792088316466
0557-ASKVU,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,-0.2391304347826087,-0.29346826126954917
5698-BQJOH,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,-0.43478260869565216,0.44250229990800394
5122-CYFXA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,-0.5652173913043478,0.09107635694572223
8627-ZYGSZ,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.391304347826087,0.15731370745170214
3410-YOQBQ,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0.043478260869565216,0.16283348666053377
3170-NMYVV,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.45652173913043476,-0.9236430542778289
7410-OIEDU,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.41304347826086957,0.17479300827966884
2273-QCKXA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.6086956521739131,-0.39190432382704693
0731-EBJQB,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.5,-0.9190432382704692
1891-QRQSA,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0.7608695652173914,0.7589696412143515
8028-PNXHQ,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.717391304347826,-0.8482060717571297
5630-AHZIL,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.5652173913043478,-0.10763569457221701
2673-CXQEU,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0.5869565217391305,0.7387304507819689
6416-JNVRK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.3695652173913043,-0.27046918123275066
5590-ZSKRV,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.45652173913043476,-0.28886844526218947
0191-ZHSKZ,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.021739130434782608,0.08095676172953094
3887-PBQAO,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0.34782608695652173,-0.8178472861085556
5919-TMRGD,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,-0.6086956521739131,0.1655933762649494
8108-UXRQN,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-0.391304347826087,-0.36430542778288866
9191-MYQKX,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.4782608695652174,0.08831646734130656
9919-YLNNG,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0.2826086956521739,0.6154553817847287
0318-ZOPWS,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.43478260869565216,-0.9236430542778289
4445-ZJNMU,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,-0.43478260869565216,0.532658693652254
4808-YNLEU,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.13043478260869565,-0.15087396504139827
1862-QRWPE,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.41304347826086957,-0.9144434222631095
2796-NNUFI,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0.3695652173913043,-0.9273229070837166
3016-KSVCP,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-0.6734130634774609
4767-HZZHQ,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434782608,0.2152713891444343
2424-WVHPL,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.6086956521739131,0.08003679852805905
7233-PAHHL,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0.8043478260869565,0.25114995400184004
6067-NGCEU,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0.782608695652174,0.7488500459981602
9848-JQJTX,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.9347826086956522,0.5620975160993563
8637-XJIVR,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.3695652173913043,0.15823367065317404
9803-FTJCG,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0.9130434782608695,-0.06439742410303588
0278-YXOOG,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,-0.5217391304347826,-0.907083716651334
3212-KXOCR,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.5,-0.9080036798528058
4598-XLKNJ,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,-0.08695652173913043,0.517939282428703
6380-ARCEH,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.6086956521739131,-0.9227230910763569
3679-XASPY,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,-0.6086956521739131,-0.936522539098436
7123-WQUHX,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.1956521739130435,0.4535418583256671
5386-THSLQ,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.8043478260869565,-0.45630174793008277
3192-NQECA,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0.8478260869565217,0.7295308187672495
6180-YBIQI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5217391304347826,-0.8472861085556578
6728-DKUCO,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0.9347826086956522,0.6218951241950325
9750-BOOHV,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.06521739130434782,-0.7396504139834407
8597-CWYHH,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.30434782608695654,0.4415823367065318
2848-YXSMW,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.9347826086956522,-0.937442502299908
0486-HECZI,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.5652173913043478,0.48574057037718504
4549-ZDQYY,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.5,-0.22815087396504127
5712-AHQNN,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0.30434782608695654,0.39190432382704715
4846-WHAFZ,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.17391304347826086,0.11315547378104887
5256-SKJGO,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0.7608695652173914,-0.28978840846366133
3071-VBYPO,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.5652173913043478,0.3587856485740571
9560-BBZXK,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.15217391304347827,-0.7230910763569457
5299-RULOA,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,-0.41304347826086957,0.5501379944802209
8402-OOOHJ,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0.2608695652173913,-0.9144434222631095
9445-ZUEQE,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-0.043478260869565216,0.2732290708371667
1091-SOZGA,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0.5869565217391305,0.5418583256669735
2928-HLDBA,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.5,-0.9135234590616375
0404-SWRVG,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.5652173913043478,0.07451701931922745
6497-TILVL,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4782608695652174,-0.36154553817847274
7219-TLZHO,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.5434782608695652,-0.9107635694572217
4622-YNKIJ,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0.08695652173913043,0.3422263109475623
4412-YLTKF,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.043478260869565216,0.141674333026679
6734-PSBAW,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.9347826086956522,-0.8610855565777369
3930-ZGWVE,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.6086956521739131,-0.9310027598896045
2639-UGMAZ,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0.9130434782608695,-0.2557497700091995
2876-GZYZC,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.34782608695652173,0.2870285188592458
6207-WIOLX,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,-0.08695652173913043,-0.21619135234590606
8587-XYZSF,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.8260869565217391,-0.36430542778288866
3091-FYHKI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-0.6086956521739131,-0.6421343146274148
2372-HWUHI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5869565217391305,-0.4783808647654093
7799-LGRDP,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0.30434782608695654,-0.8215271389144434
7850-VWJUU,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.13043478260869565,0.08555657773689064
3774-VBNXY,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0.7608695652173914,-0.9227230910763569
6217-KDYWC,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0.6086956521739131,-0.9337626494940202
0390-DCFDQ,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.6086956521739131,0.0018399264029440392
3146-MSEGF,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0.9347826086956522,0.32566697332106725
4080-OGPJL,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,-0.45652173913043476,0.01471941122355127
1095-WGNGG,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0.6956521739130435,0.564857405703772
2636-SJDOU,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.7608695652173914,0.25666973321067166
1131-QQZEB,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.9130434782608695,-0.8537258509659613
5716-EZXZN,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0.782608695652174,0.5280588776448943
6837-BJYDQ,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,-0.5652173913043478,-0.9337626494940202
2135-RXIHG,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.6086956521739131,-0.4544618215271389
6440-DKQGE,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.021739130434782608,-0.10763569457221701
3466-BYAVD,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,-0.30434782608695654,-0.015639374425022896
3780-YVMFA,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,-0.45652173913043476,-0.03311867525298983
3874-EQOEP,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,-0.4782608695652174,0.4535418583256671
1679-JRFBR,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0.8913043478260869,0.6954921803127878
9073-ZZIAY,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0.717391304347826,0.2897884084636615
3077-RSNTJ,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.5,-0.9319227230910763
